,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
1041,Bastian Oczipka,2854,0,3,0,0,13,1,2,0,1980,57,36,32,0.6,0.6,4,80,7,1267,1682,118,1002,61,51,24,0.753269917,20,GER,LB,32-277,Union Berlin,1160000,59.57
1042,Ismael Bennacer,2851,2,3,0,0,28,7,11,0,2433,83,45,30,1.6,1.6,1.8,89,10,1801,2086,222,1492,48,83,65,0.86337488,4,ALG,"DM,CM",23-265,Milan,2780000,851.405
1043,Mamadou Sakho,2851,0,0,0,0,2,0,3,0,2005,37,44,44,0.1,0.1,0.1,17,4,1491,1673,88,1211,7,5,4,0.891213389,3,FRA,CB,31-183,Montpellier,450000,160.75
1044,Morgan Schneiderlin,2846,0,2,0,0,12,3,10,2,2316,72,73,29,0.9,0.9,0.9,47,3,1770,2019,165,1376,20,22,18,0.87667162,6,FRA,CM,31-318,Nice,1540000,348.652
1045,Daniel Amartey,2845,1,0,0,0,5,2,6,0,2324,37,33,38,0.4,0.4,0.1,23,1,1813,2039,86,1434,18,10,7,0.889161354,18,GHA,CB,26-236,Leicester City,1090000,721.915
1046,Dries Mertens,2843,20,9,1,1,98,38,4,0,1297,32,18,15,9.3,8.5,7.3,131,21,752,1036,136,737,58,51,28,0.725868726,14,BEL,AM,34-150,Napoli,8330000,733.75
1047,Oier Sanjurjo,2842,1,2,0,0,25,5,11,0,1470,49,30,32,1.8,1.8,2.5,49,7,797,1183,114,573,11,11,7,0.673710904,6,ESP,CM,35-081,Osasuna,340000,36.05
1048,Benno Schmitz,2837,0,6,0,0,16,4,5,0,2184,71,45,52,0.5,0.5,4.1,89,12,1298,1892,229,981,67,12,2,0.686046512,2,GER,RB,26-271,Köln,580000,132.055
1049,Joao Felix,2835,15,9,1,2,76,30,9,1,1465,13,12,7,11.1,9.5,8.8,95,20,892,1140,122,993,91,112,61,0.78245614,7,POR,AM,21-306,Atlético Madrid,14580000,1271.6
1050,Thomas Delaney,2835,3,2,0,0,25,7,10,1,1950,81,35,47,1.6,1.6,0.9,38,2,1303,1638,122,931,19,14,8,0.795482295,6,DEN,DM,29-345,Dortmund,3470000,1092.74
1051,Moreto Cassama,2832,3,1,0,0,22,9,9,3,2129,61,45,29,0.7,0.7,1.2,65,6,1576,1832,157,1311,28,56,37,0.860262009,23,GNB,CM,23-180,Reims,370000,131.05
1052,Ben Chilwell,2828,6,6,0,0,40,16,3,0,2524,50,28,35,3.4,3.4,3.3,84,11,1699,2186,129,1380,108,33,19,0.777218664,21,ENG,WB,24-285,Chelsea,9880000,1491.716
1053,Valere Germain,2827,7,3,0,0,41,20,4,0,1030,31,20,20,6.2,6.2,3,36,5,561,775,53,526,13,12,3,0.723870968,9,FRA,FW,31-148,Montpellier,1830000,160.75
1054,Xeka,2819,4,2,0,0,40,10,16,0,2115,80,44,37,2.3,2.3,3.4,78,8,1464,1758,156,1257,32,25,11,0.832764505,8,POR,CM,26-284,Lille,1440000,675.665
1055,Mattia Caldara,2815,1,0,0,0,18,7,10,0,1606,49,66,52,1.8,1.8,0,21,3,1003,1226,67,805,15,7,3,0.818107667,31,ITA,"CB,RB",27-109,Venezia,3700000,22.29
1056,Denis Zakaria,2814,3,2,0,0,29,6,9,0,1811,53,42,45,2.3,2.3,1.6,49,6,1296,1466,145,1077,60,74,50,0.884038199,28,SUI,RM,25-078,Juventus,3850000,1577.673
1057,Adil Aouchiche,2812,2,9,0,0,47,22,4,0,1822,51,27,33,4.1,4.1,7.5,133,13,1028,1432,162,1098,99,101,49,0.717877095,17,FRA,"RM,AM",19-024,Saint-Étienne,320000,178.1
1058,Lucas Perrin,2810,2,1,0,0,12,4,6,0,1898,50,50,33,0.8,0.8,0.5,43,3,1372,1618,160,1226,33,12,8,0.847960445,5,FRA,CB,22-268,Strasbourg,100000,102.65
1059,Thomas Lemar,2806,5,8,0,0,52,18,6,0,1933,54,19,40,4.7,4.7,5.4,111,19,1264,1597,173,1208,91,105,75,0.791484033,11,FRA,CM,25-276,Atlético Madrid,6500000,1271.6
1060,Moise Kean,2796,18,2,0,0,80,34,9,0,878,20,11,12,15.1,15.1,1.1,37,4,417,541,32,505,51,94,45,0.770794824,27,ITA,FW,21-174,Everton,3210000,830.13
