,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
1375,James Milner,1923,0,2,0,0,22,5,5,0,1975,54,31,49,0.5,0.5,3,67,3,1425,1711,173,1110,30,18,8,0.832846289,7,ENG,"CM,LM",35-222,Liverpool,7280000,852.97
1376,Okay Yokuslu,1922,0,1,0,0,18,1,5,0,1069,51,42,24,1,1,0.6,17,3,666,811,67,516,7,32,26,0.821208385,5,TUR,"RM,CM",27-196,Celta Vigo,1790000,187.272
1377,Luuk de Jong,1922,10,0,0,0,56,21,4,0,766,18,5,15,9.5,9.5,1.2,32,0,378,527,27,382,10,18,12,0.717267552,17,NED,"FW,RM",31-024,Barcelona,1200000,1752
1378,Daley Sinkgraven,1921,0,0,0,0,7,2,4,0,1698,38,26,25,0.5,0.5,0.8,39,2,1201,1486,96,974,64,45,33,0.80820996,22,NED,LB,26-055,Leverkusen,2000000,585.95
1379,Sebastian Walukiewicz,1920,0,1,0,0,4,1,2,0,1212,36,43,27,1.1,1.1,0.7,6,1,854,994,52,736,20,18,13,0.85915493,40,POL,CB,21-140,Cagliari,380000,235.996
1380,Ben Johnson,1920,2,0,0,0,8,2,2,0,1227,44,33,21,0.6,0.6,0.9,31,3,676,990,84,610,34,16,11,0.682828283,31,ENG,"RW,FW",21-203,West Ham,1000000,594.61
1381,Etienne Green,1917,0,0,0,0,0,0,1,1,687,1,1,0,0,0,0,4,1,422,621,0,296,0,0,0,0.679549114,40,ENG,GK,21-020,Saint-Étienne,100000,178.1
1382,Kevin Mohwald,1909,5,1,0,0,33,10,6,1,1379,22,35,13,2.1,2.1,1.3,48,3,970,1173,101,702,17,18,9,0.826939471,30,GER,CM,28-070,Union Berlin,920000,59.57
1383,Marc-Aurele Caillard,1903,0,0,0,0,0,0,2,0,623,0,2,0,0,0,0,1,0,336,557,0,284,0,0,0,0.603231598,30,FRA,GK,27-165,Metz,180000,92.1
1384,Hugo Duro,1901,7,1,0,0,34,16,3,1,642,25,4,25,3.7,3.7,0.7,35,7,279,403,22,343,12,26,14,0.692307692,14,ESP,"RB,RM",21-276,Getafe,2890000,146.8
1385,Lucas Alario,1900,17,2,2,3,61,31,4,0,723,14,3,14,12.9,10.5,1.7,57,7,341,479,31,379,13,35,28,0.711899791,13,ARG,FW,28-338,Leverkusen,2960000,585.95
1386,Wylan Cyprien,1900,2,3,0,0,26,9,5,0,1420,42,15,29,1,1,3,77,10,998,1232,116,875,12,26,17,0.810064935,8,FRA,CM,26-227,Nantes,900000,145.4
1387,Dion Lopy,1898,0,0,0,0,19,2,4,0,949,54,24,20,0.9,0.9,0.3,28,3,628,725,62,626,21,33,21,0.866206897,26,SEN,DM,19-208,Reims,100000,131.05
1388,Kevin Vazquez,1896,0,1,0,0,4,1,6,0,1468,45,45,28,0.4,0.4,1.2,37,4,938,1225,56,669,18,24,14,0.765714286,20,ESP,RB,28-153,Celta Vigo,960000,187.272
1389,Ivan Alejo,1892,3,3,0,0,25,8,12,0,861,47,11,26,2.6,2.6,2.5,59,6,320,558,38,502,109,68,28,0.573476703,14,ESP,"LM,RM",26-234,Cádiz,470000,16.2
1390,Dani Ceballos,1891,0,3,0,0,23,6,5,0,1795,44,39,31,1.4,1.4,3,80,6,1366,1572,170,1181,60,49,31,0.868956743,19,ESP,RM,25-154,Real Madrid,2820000,1178.05
1391,Malo Gusto,1886,0,4,0,0,11,0,3,0,1759,55,33,21,0.5,0.5,4.2,46,6,1291,1504,87,1169,70,34,19,0.85837766,17,FRA,RB,18-080,Lyon,400000,800.84
1392,Andreas Voglsammer,1882,4,3,0,0,65,27,2,0,755,26,5,20,6.4,6.4,3.2,50,3,295,515,41,392,35,29,14,0.572815534,9,GER,FW,29-217,Union Berlin,320000,59.57
1393,Roberto Gagliardini,1881,5,4,0,0,25,9,4,0,1156,42,28,29,2.2,2.2,3,39,9,802,937,87,630,35,14,7,0.855923159,5,ITA,CM,27-164,Inter,2780000,1112.366
1394,Nils Petersen,1881,13,1,1,1,46,16,0,0,647,16,11,32,8.5,7.7,1.1,38,1,237,380,25,248,8,18,9,0.623684211,18,GER,RM,32-279,Freiburg,750000,190.475
1395,Daniele Rugani,1880,1,1,0,0,5,1,4,0,1266,32,26,24,0.6,0.6,0.6,6,1,899,1055,64,687,7,1,1,0.852132701,24,ITA,CB,27-100,Juventus,6480000,1577.673
1396,Arturo Vidal,1879,2,2,0,0,39,11,6,0,1565,53,36,36,4.6,4.6,2.7,63,8,1143,1328,147,875,29,13,9,0.860692771,22,CHI,DM,34-091,Inter,8330000,1112.366
1397,Oscar Rodriguez Arnaiz,1871,0,1,0,0,50,11,4,0,1212,35,26,11,2.2,2.2,2.7,64,8,740,978,93,719,48,61,34,0.756646217,14,ESP,"AM,LM",23-048,Sevilla,1150000,807.11
1398,Sead Kolasinac,1866,1,2,0,0,6,1,5,0,1162,27,20,21,0.3,0.3,1.5,29,3,778,989,64,632,43,25,15,0.786653185,23,BIH,LB,28-229,Marseille,5200000,321.94
1399,Dominique Heintz,1865,0,0,0,0,4,2,3,0,1434,30,43,17,0.3,0.3,0.3,15,1,1058,1249,102,917,16,10,7,0.847077662,23,GER,CB,27-364,Freiburg,1200000,190.475
1400,Ander Barrenetxea,1854,4,1,0,0,31,9,7,0,887,44,8,27,2.1,2.1,2.6,48,7,420,597,59,572,57,104,54,0.703517588,22,ESP,RW,19-231,Real Sociedad,310000,205.3
1401,Myziane Maolida,1853,4,2,0,0,33,7,2,0,807,20,7,11,3.5,3.5,2.1,50,6,421,594,40,538,61,75,33,0.708754209,7,FRA,RM,22-181,Nice,150000,348.652
1402,Georginio Rutter,1852,9,2,0,0,58,24,2,0,719,22,6,31,7.6,7.6,4.3,54,7,243,380,48,432,42,90,42,0.639473684,33,FRA,RW,19-116,Hoffenheim,600000,298.42
1403,Davide Biraschi,1845,0,0,0,0,5,0,6,0,1197,48,37,28,0,0,0.1,9,0,727,967,81,634,24,34,21,0.751809721,14,ITA,CB,27-050,Genoa,1300000,511.115
1404,Stefan Ilsanker,1844,1,0,0,0,17,4,5,0,1237,47,36,36,1.4,1.4,0.2,21,1,782,991,85,554,14,13,9,0.789101917,3,AUT,CB,32-088,Eint Frankfurt,1400000,340.805
1405,Stanislav Lobotka,1840,1,0,0,0,2,1,4,0,1677,40,12,10,0.1,0.1,0.4,39,1,1444,1548,100,1219,28,19,15,0.932816537,68,SVK,CM,26-270,Napoli,2560000,733.75
1406,Jose Mari,1837,1,0,1,1,20,4,8,1,884,46,34,20,1.2,0.4,0.4,24,3,481,664,63,370,16,26,17,0.72439759,6,ESP,CM,34-075,Cádiz,410000,16.2
1407,Adam Ounas,1833,4,4,0,0,44,12,2,0,1091,18,8,20,3.6,3.6,4.7,90,9,625,823,115,701,94,133,100,0.759416768,33,ALG,"RW,LW",24-291,Napoli,2960000,733.75
1408,Kalifa Coulibaly,1831,8,1,1,1,44,14,3,0,666,8,2,5,7.4,6.7,2.1,34,3,266,460,33,291,11,16,9,0.57826087,7,MLI,FW,30-022,Nantes,1500000,145.4
1409,Daniel Brosinski,1820,2,1,2,2,9,1,0,0,1269,21,17,24,1.9,0.4,3.3,56,4,691,1102,85,500,30,19,7,0.627041742,18,GER,WB,33-070,Mainz 05,770000,223.85
1410,Stevan Jovetic,1819,12,1,0,1,88,36,4,0,988,13,4,4,9.9,8.7,2,78,10,499,765,97,568,58,47,28,0.652287582,19,MNE,LW,31-286,Hertha BSC,1310000,316.645
1411,Davie Selke,1817,7,1,2,2,51,21,6,0,650,8,2,9,7.9,6.3,1.1,36,3,246,444,28,307,20,19,4,0.554054054,7,GER,FW,26-213,Hertha BSC,1400000,316.645
1412,Kingsley Ehizibue,1814,0,2,0,0,15,1,7,0,1241,64,27,32,0.7,0.7,1.6,37,5,679,948,52,563,47,46,24,0.716244726,19,NED,RB,26-082,Köln,960000,132.055
1413,Joseba Zaldua,1811,0,0,0,0,8,4,9,0,1206,46,19,20,0,0,1.2,24,1,780,1011,50,552,29,15,4,0.771513353,2,ESP,RB,29-052,Real Sociedad,1810000,205.3
1414,Abdoulaye Bamba,1805,0,0,0,0,2,1,3,0,1233,33,28,12,0.3,0.3,1.5,28,1,790,1058,66,601,26,10,4,0.746691871,25,CIV,RM,31-329,Angers,330000,150.1
1415,Mateo Klimowicz,1801,1,2,0,0,45,13,3,0,723,33,6,7,3.9,3.9,1.3,57,6,387,519,66,463,49,59,32,0.74566474,31,GER,AM,21-039,Stuttgart,200000,175.73
1416,Marwin Hitz,1800,0,0,0,0,0,0,1,0,767,1,0,0,0,0,0,0,0,613,728,0,413,0,0,0,0.842032967,35,SUI,GK,34-035,Dortmund,2200000,1092.74
1417,Timothee Pembele,1797,2,1,0,0,22,6,4,0,1162,28,21,16,1.7,1.7,3.3,42,6,665,862,51,667,86,92,49,0.771461717,22,FRA,"WB,RB,CB",18-340,Bordeaux,320000,247.16
1418,Emanuel Vignato,1797,1,5,0,0,28,9,6,0,1285,30,12,8,1.7,1.7,5.7,78,8,867,1119,134,779,65,52,35,0.774798928,55,ITA,LB,20-363,Bologna,560000,248.088
1419,Jorge Mere,1790,0,0,0,0,2,0,4,0,1165,22,25,20,0,0,0.3,14,0,851,988,52,636,3,6,3,0.861336032,22,ESP,CB,24-127,Köln,2380000,132.055
1420,Jesse Lingard,1788,11,4,1,2,48,26,4,0,1034,21,4,11,5.1,3.4,2.7,79,13,674,839,88,654,68,49,20,0.803337306,14,ENG,LW,28-250,Manchester Utd,3900000,947.13
1421,Boubacar Traore,1780,2,1,0,0,24,6,9,1,1000,46,25,30,0.6,0.6,1.4,48,2,640,778,89,634,27,42,28,0.822622108,8,MLI,DM,19-360,Metz,30000,92.1
1422,Ayoze Perez,1776,4,4,0,0,42,19,2,1,948,36,12,39,4.9,4.9,2.7,71,6,492,653,72,555,55,75,39,0.753445636,17,ESP,RW,28-016,Leicester City,2340000,721.915
1423,Harry Winks,1773,0,1,0,0,7,2,7,0,1525,31,27,30,0.1,0.1,1.6,36,5,1164,1366,135,992,19,20,12,0.852122987,8,ENG,LM,25-201,Tottenham,2600000,699.47
1424,Steven Bergwijn,1773,4,4,0,0,34,16,4,0,814,18,6,10,4.5,4.5,1.5,56,10,494,607,42,525,58,65,32,0.81383855,23,NED,LW,23-311,Tottenham,3900000,699.47
1425,Joaquin,1762,2,7,0,0,20,8,2,0,1213,15,20,13,2.5,2.5,4.3,87,11,818,1033,105,711,77,59,37,0.791868345,17,ESP,AM,40-024,Betis,1440000,385.32
1426,Roman Burki,1755,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,1,1,530,653,1,401,0,0,0,0.811638591,38,SUI,GK,31-181,Dortmund,3000000,1092.74
1427,Calum Chambers,1754,1,2,0,0,13,1,1,0,1383,28,15,26,0.6,0.6,1.2,29,3,942,1173,78,745,19,11,4,0.803069054,21,ENG,RB,26-205,Arsenal,2600000,922.52
1428,Ross Barkley,1752,4,1,0,0,48,16,0,0,1130,6,6,10,4.1,4.1,4.7,96,8,769,950,104,619,56,52,37,0.809473684,18,ENG,CM,27-301,Chelsea,5000000,1491.716
1429,Karim Rekik,1751,0,2,0,0,6,0,4,0,1424,18,15,19,0.5,0.5,0.4,24,3,1126,1271,49,852,28,14,9,0.885916601,4,NED,CB,26-256,Sevilla,1310000,807.11
1430,Luca Pellegrini,1746,0,2,0,0,11,1,8,0,1211,32,13,20,0.3,0.3,3.4,42,5,739,995,48,659,44,48,27,0.742713568,17,ITA,LB,22-188,Juventus,2410000,1577.673
1431,David Timor,1736,0,0,0,0,25,4,7,1,952,14,20,8,0.6,0.6,1.3,23,0,536,815,90,360,7,5,3,0.657668712,24,ESP,"RM,RB",31-310,Getafe,660000,146.8
1432,Erik Lamela,1732,6,2,0,0,42,21,11,1,1102,48,11,22,3.7,3.7,2.6,75,8,694,850,98,686,54,74,43,0.816470588,17,ARG,"RM,AM",29-164,Sevilla,2630000,807.11
1433,Erick Cabaco,1729,0,1,0,0,6,0,12,1,810,26,17,13,0.6,0.6,0.4,11,1,416,662,57,347,9,2,0,0.628398792,3,URU,CB,26-116,Getafe,470000,146.8
1434,Valerio Verre,1728,3,4,0,0,44,15,5,1,1167,22,10,23,3.1,3.1,2.1,80,11,642,918,129,751,58,53,28,0.699346405,8,ITA,FW,27-224,Sampdoria,1300000,462.381
1435,Mohamed Fares,1726,2,2,0,0,27,7,7,0,1016,24,24,22,1.7,1.5,2.6,53,6,589,797,39,535,42,34,15,0.73902133,93,ALG,LM,25-209,Genoa,2220000,511.115
1436,Riccardo Saponara,1725,5,3,0,0,47,18,3,1,943,16,3,6,3.1,3.1,4.1,79,10,572,735,116,663,101,68,30,0.778231293,8,ITA,RM,29-244,Fiorentina,1280000,629.862
1437,Nathan Ake,1720,3,0,0,0,8,3,4,0,1775,26,17,9,1,1,0.6,10,1,1505,1641,109,1246,24,3,0,0.917123705,6,NED,CB,26-178,Manchester City,4800000,1252.81
1438,Sinaly Diomande,1712,0,0,0,0,19,3,5,0,1418,16,45,25,1.5,1.5,0.2,12,0,1074,1216,70,870,8,10,7,0.883223684,2,CIV,CB,20-128,Lyon,610000,800.84
1439,Marco Sportiello,1711,0,0,0,0,0,0,0,0,548,2,2,0,0,0,0,1,1,419,511,0,335,0,0,0,0.819960861,57,ITA,GK,29-124,Atalanta,1110000,633.372
1440,Danilo D'Ambrosio,1699,4,1,0,0,22,9,4,0,1416,45,12,30,3.3,3.3,0.5,20,3,1073,1212,82,848,13,13,8,0.885313531,33,ITA,WB,33-003,Inter,3700000,1112.366
1441,Arber Zeneli,1698,5,6,0,0,32,13,1,0,786,21,4,12,3,3,3.5,56,9,374,526,44,483,61,96,49,0.711026616,10,KVX,FW,27-002,Reims,700000,131.05
1442,Papa Ndiaga Yade,1697,3,5,0,0,36,6,7,0,864,30,14,13,1.6,1.6,3.2,56,6,415,589,34,537,80,76,40,0.704584041,26,SEN,WB,21-222,Metz,50000,92.1
1443,Moussa Djenepo,1697,1,0,0,0,25,3,8,0,893,61,12,30,2.4,2.4,0.7,49,5,399,554,50,505,48,81,39,0.720216606,19,MLI,"LM,LB",23-060,Southampton,2860000,503.82
1444,Shkodran Mustafi,1695,2,0,0,0,13,4,2,0,1203,25,47,26,0.8,0.8,0,8,0,736,945,40,612,11,9,4,0.778835979,13,GER,CB,29-154,Levante,1200000,129.3
1445,Naby Keita,1693,3,1,0,0,35,9,4,0,1363,57,23,43,2.7,2.7,2.3,67,7,958,1118,108,793,57,34,23,0.856887299,8,GUI,"LM,RM",26-185,Liverpool,6240000,852.97
1446,Jesus Vallejo,1689,0,0,0,0,1,0,3,1,913,18,19,30,0.1,0.1,0.1,7,2,563,740,38,453,8,9,6,0.760810811,5,ESP,CB,24-320,Real Madrid,1640000,1178.05
1447,Hannes Wolf,1685,3,2,0,0,22,9,4,0,900,49,11,28,2.2,2.2,2.9,44,8,499,668,61,491,39,50,23,0.747005988,11,AUT,LW,22-119,M'Gladbach,1000000,247.63
1448,Ibrahima Konate,1685,1,0,0,0,8,2,4,0,1483,22,24,19,0.9,0.9,0,8,3,1143,1315,80,916,13,11,10,0.869201521,5,FRA,CB,22-116,Liverpool,3640000,852.97
1449,Inigo Perez,1685,1,0,0,0,12,3,4,1,928,23,15,13,0.3,0.3,2,42,2,556,819,94,449,14,6,2,0.678876679,21,ESP,"CM,LM",33-237,Osasuna,310000,36.05
1450,Benjamin Henrichs,1683,3,4,0,0,20,8,6,0,1251,42,27,25,1.5,1.5,3,30,6,827,1060,93,622,36,21,11,0.780188679,39,GER,CM,24-214,RB Leipzig,1700000,693.79
1451,Domagoj Bradaric,1680,1,2,0,0,5,3,6,0,1386,39,36,19,0.3,0.3,1.5,34,5,942,1208,59,818,53,18,10,0.779801325,29,CRO,LM,21-262,Lille,510000,675.665
1452,Kike Perez,1678,2,0,0,0,25,9,4,0,985,34,20,16,1.7,1.7,1.7,42,3,603,777,82,540,41,39,27,0.776061776,24,ESP,CM,24-362,Elche,420000,23.7
1453,Exequiel Palacios,1669,2,2,0,0,12,4,3,0,1421,61,40,33,0.9,0.9,2.9,40,5,1039,1215,111,765,14,17,12,0.855144033,25,ARG,DM,22-313,Leverkusen,1700000,585.95
1454,Yan Brice Eteki,1664,0,0,0,0,8,3,7,1,649,29,17,20,0.2,0.2,0,9,0,369,484,41,300,2,14,10,0.762396694,8,CMR,RM,24-003,Granada,500000,52.25
1455,Denis Cheryshev,1664,0,4,0,0,30,10,4,0,715,33,21,24,1.7,1.7,2.7,42,9,299,501,56,396,51,31,14,0.596806387,17,RUS,LM,30-230,Valencia,3190000,504.3
1456,Sofiane Alakouch,1663,0,2,0,0,6,0,5,0,1258,60,22,21,0.2,0.2,1.2,25,3,801,1016,70,617,38,40,20,0.788385827,22,MAR,WB,23-017,Metz,450000,92.1
1457,Tom Davies,1657,1,1,0,0,13,2,4,0,990,34,36,17,0.9,0.9,0.8,31,2,632,788,56,566,12,27,20,0.802030457,26,ENG,CM,23-080,Everton,1300000,830.13
1458,Arthur Masuaku,1656,1,3,0,0,10,3,3,0,1181,51,17,21,0.4,0.4,2.9,40,6,732,948,76,612,61,61,39,0.772151899,26,COD,LW,28-000,West Ham,2080000,594.61
1459,Romain Del Castillo,1655,0,11,0,0,29,8,3,1,1108,59,11,18,1.8,1.7,4.1,74,16,591,824,91,709,44,79,41,0.71723301,22,FRA,RM,25-132,Rennes,920000,469.93
1460,Marvelous Nakamba,1653,0,0,0,0,2,1,8,0,866,54,29,30,0,0,0,15,0,567,671,33,473,6,20,18,0.845007452,19,ZIM,DM,27-207,Aston Villa,1690000,523.44
1461,Timothy Chandler,1644,1,0,0,0,19,5,6,0,944,22,22,15,1.2,1.2,0.7,25,1,500,772,59,437,30,12,6,0.647668394,22,USA,LB,31-180,Eint Frankfurt,710000,340.805
1462,Pedro Mendes,1642,2,0,0,0,7,2,5,0,976,22,34,24,1.3,1.3,0.6,9,0,682,814,50,539,8,3,3,0.837837838,5,POR,CB,31-232,Montpellier,550000,160.75
1463,Roberto Massimo,1634,2,0,0,0,35,15,2,0,850,35,14,14,3.8,3.8,2.3,46,5,437,581,28,465,48,76,38,0.752151463,30,GER,"WB,FW",20-306,Stuttgart,190000,175.73
1464,Patrick Herrmann,1630,0,7,0,0,32,11,4,0,887,24,16,26,3.5,3.5,3.8,81,9,489,717,43,444,42,29,19,0.682008368,7,GER,RW,30-182,M'Gladbach,1700000,247.63
1465,Stephan El Shaarawy,1627,4,1,0,0,55,19,2,0,1033,17,14,13,3.9,3.9,4.1,81,2,668,823,100,626,85,59,29,0.811664642,92,ITA,LW,28-299,Roma,5560000,1045.163
1466,David Pereira da Costa,1622,4,6,0,0,27,9,2,0,1007,26,13,14,2.7,2.7,3.5,75,12,682,844,100,735,60,43,28,0.808056872,20,POR,AM,20-222,Lens,30000,57.6
1467,Simone Zaza,1620,6,0,0,0,65,19,5,0,601,17,3,17,8.6,8.6,1.4,40,3,262,367,15,313,10,21,9,0.713896458,7,ITA,WB,30-123,Torino,3150000,331.15
1468,Dele Alli,1615,1,1,1,1,18,6,4,0,1008,39,19,38,3.9,3.1,1.6,42,2,566,730,57,568,30,66,28,0.775342466,20,ENG,LM,25-126,Tottenham,5200000,699.47
1469,Luca Netz,1615,1,3,0,0,16,6,1,0,926,38,19,27,2.9,2.9,1.3,39,6,538,710,33,453,25,31,18,0.757746479,20,GER,LB,18-098,M'Gladbach,2700000,247.63
1470,Julian Draxler,1612,6,4,0,0,20,7,3,0,1056,16,19,7,3.2,3.2,5.4,62,7,824,945,103,717,63,41,25,0.871957672,23,GER,LM,27-321,Paris S-G,7200000,1076.2
1471,Patrick Cutrone,1597,3,0,0,0,53,15,1,0,466,9,6,12,3.9,3.9,0.9,22,2,200,301,18,274,21,18,9,0.664451827,9,ITA,FW,23-230,Empoli,3820000,40.2
1472,Yusuf Yazici,1595,8,5,0,0,54,27,4,0,992,22,4,9,4.5,4.5,5,80,6,552,797,76,561,33,39,22,0.69259724,11,TUR,CM,24-191,Lille,1050000,675.665
1473,Samuel Moutoussamy,1591,0,1,0,0,16,6,5,0,898,48,17,15,1.9,1.9,0.3,21,4,624,738,69,565,14,20,10,0.845528455,18,COD,DM,24-359,Nantes,210000,145.4
1474,Diego Farias,1580,4,2,0,0,33,10,5,0,822,10,13,12,3,3,3.5,59,4,559,689,68,546,49,27,19,0.811320755,17,BRA,CM,31-111,Cagliari,1850000,235.996
1475,Dimitry Bertaud,1578,0,0,0,0,0,0,0,0,665,0,1,0,0,0,0,2,1,440,625,0,388,0,0,0,0.704,16,FRA,GK,23-063,Montpellier,100000,160.75
1476,Marton Dardai,1576,0,2,0,0,6,3,2,0,1087,27,36,23,0.2,0.2,0.5,16,3,672,890,60,636,17,5,3,0.75505618,31,GER,CB,19-184,Hertha BSC,70000,316.645
1477,Frederik Ronnow,1575,0,0,0,0,0,0,1,0,689,0,1,0,0,0,0,0,0,455,637,0,376,0,0,0,0.714285714,19,DEN,GK,29-171,Union Berlin,700000,59.57
1478,Jens Petter Hauge,1572,4,2,0,0,26,13,4,0,827,21,4,11,2.9,2.9,2.3,54,8,460,622,60,505,31,62,36,0.739549839,23,NOR,RW,21-306,Eint Frankfurt,1890000,340.805
1479,Francis Coquelin,1566,2,1,0,0,9,2,7,0,1176,45,40,23,0.5,0.5,1.4,29,1,855,986,87,693,24,35,29,0.867139959,19,FRA,CM,30-095,Villarreal,7710000,503.3
1480,Loren Moron,1558,2,0,0,0,34,5,2,0,508,18,5,22,3.4,3.4,1.1,25,2,168,279,28,260,11,30,15,0.602150538,16,ESP,FW,27-233,Betis,810000,385.32
1481,Nicola Murru,1552,1,0,0,0,8,2,5,0,1012,31,19,28,0.3,0.3,0.7,27,1,534,812,58,496,35,21,9,0.657635468,29,ITA,LB,26-250,Sampdoria,1300000,462.381
1482,Andrea Petagna,1550,7,4,0,0,37,16,1,0,548,5,1,5,5.8,5.8,4,55,5,300,394,26,320,29,26,16,0.76142132,37,ITA,FW,26-053,Napoli,3330000,733.75
1483,Nathan Tella,1549,1,2,0,0,29,13,4,0,586,21,9,26,2.2,2.2,1.3,44,6,202,319,26,364,41,51,21,0.63322884,23,ENG,RM,22-040,Southampton,650000,503.82
1484,Kevin N'Doram,1542,0,0,0,0,7,1,5,0,803,13,25,24,1,1,0.4,25,2,550,656,73,517,5,15,6,0.838414634,4,FRA,CM,25-198,Metz,840000,92.1
1485,Hector Herrera,1541,0,1,0,0,15,4,6,0,1508,28,26,20,0.6,0.6,0.9,37,4,1154,1334,108,861,18,25,20,0.865067466,16,MEX,DM,31-152,Atlético Madrid,6000000,1271.6
1486,Saif-Eddine Khaoui,1533,3,1,0,0,31,13,5,0,847,38,26,17,3,3,1.1,43,2,455,642,62,494,19,33,21,0.708722741,6,TUN,AM,26-117,Clermont Foot,100000,0
1487,Robert Skov,1532,1,1,0,0,45,9,1,1,889,22,18,11,2.6,2.6,4,52,5,468,673,56,499,34,37,14,0.695393759,29,DEN,RW,25-114,Hoffenheim,1800000,298.42
1488,Mathew Ryan,1530,0,0,0,0,0,0,1,0,620,1,0,0,0,0,0.1,1,0,459,586,0,361,0,0,0,0.783276451,13,AUS,GK,29-168,Real Sociedad,500000,205.3
1489,Kiko Casilla,1530,0,0,0,0,0,0,3,0,617,0,1,0,0,0,0.1,8,0,411,584,0,296,0,0,0,0.703767123,1,ESP,GK,34-318,Elche,1940000,23.7
1490,Kevin Rodrigues,1530,1,1,0,0,14,4,1,0,973,31,27,20,0.7,0.7,0.5,34,2,520,783,56,470,23,25,13,0.664112388,19,POR,LW,27-177,Rayo Vallecano,340000,31.8
1491,Kenedy,1529,4,4,0,0,38,11,3,0,613,27,26,21,2,2,3.1,41,4,237,368,28,351,32,71,38,0.644021739,23,BRA,WB,26-103,Chelsea,1300000,1491.716
1492,Nicolas Nkoulou,1526,1,0,0,0,3,1,5,0,959,15,35,30,0.5,0.5,0,9,1,669,778,27,510,2,6,5,0.859897172,13,CMR,CB,31-210,Watford,1280000,304.33
1493,Stefano Sensi,1524,1,0,0,0,31,11,2,1,1146,31,13,10,2.5,2.5,1.9,58,6,786,953,105,709,35,43,23,0.824763903,12,ITA,FW,26-016,Inter,3700000,1112.366
1494,Colin Dagba,1522,1,2,0,0,7,1,4,0,1226,27,18,22,0.6,0.6,1,28,2,957,1083,50,717,45,15,9,0.88365651,17,FRA,RB,23-036,Paris S-G,590000,1076.2
1496,Eliaquim Mangala,1500,1,0,0,0,5,1,10,0,861,17,23,19,0.7,0.7,0,2,0,579,702,27,496,3,5,5,0.824786325,22,FRA,CB,30-357,Saint-Étienne,600000,178.1
1497,Jeff Hendrick,1494,3,1,0,0,11,3,3,1,689,9,19,14,1.3,1.3,1.1,21,4,460,573,37,373,8,16,9,0.802792321,16,IRL,CM,29-223,Newcastle Utd,1820000,472.835
1498,Corentin Tolisso,1484,3,1,0,0,29,10,1,1,1273,30,15,20,4.3,4.3,2.4,49,8,957,1108,165,753,22,10,4,0.863718412,24,FRA,DM,27-019,Bayern Munich,7000000,597.25
1499,Jordan Beyer,1482,0,0,0,0,7,0,5,0,1227,48,18,23,0.6,0.6,0.3,27,1,902,1036,51,690,26,16,10,0.870656371,15,GER,CB,21-102,M'Gladbach,180000,247.63
1500,Karim Bellarabi,1481,3,2,0,0,56,19,4,0,896,21,21,17,3.7,3.7,3.9,63,5,491,678,42,566,66,76,43,0.724188791,38,GER,DM,31-156,Leverkusen,2600000,585.95
1501,Adrian Grbic,1479,5,0,3,3,43,18,2,0,480,8,5,9,8.2,5.8,0.8,21,4,194,320,13,258,16,16,3,0.60625,27,AUT,FW,25-004,Lorient,510000,53.5
1502,Fernando Nino,1477,5,0,0,0,37,20,3,0,521,18,5,10,8.7,8.7,0.7,28,1,239,345,17,279,27,27,17,0.692753623,26,ESP,FW,20-301,Mallorca,220000,26.5
1503,Marko Rog,1476,0,1,0,0,15,3,2,0,951,45,20,23,0.3,0.3,0.3,41,3,663,771,67,520,37,40,24,0.859922179,6,CRO,"CM,LM,RB",26-258,Cagliari,2780000,235.996
1504,Deyovaisio Zeefuik,1470,1,0,0,0,3,2,5,1,966,24,23,27,0.2,0.2,1.2,39,1,550,754,40,422,38,34,11,0.729442971,42,NED,"RM,CM",23-157,Hertha BSC,600000,316.645
1505,Nikola Kalinic,1469,6,1,0,0,37,11,7,1,490,7,1,8,7.4,7.4,1.2,30,4,242,332,25,324,10,13,7,0.728915663,9,CRO,FW,33-228,Hellas Verona,2780000,177.008
1506,Manolo Portanova,1458,1,0,0,0,35,15,5,0,650,51,18,33,3.3,3.3,0.7,34,1,217,367,31,342,31,49,27,0.591280654,90,ITA,"AM,LW",21-111,Genoa,1110000,511.115
1507,Paul Dummett,1453,1,0,0,0,3,1,4,0,813,23,19,17,0.3,0.3,0.2,9,2,474,648,34,350,2,4,3,0.731481481,3,WAL,LB,30-111,Newcastle Utd,1820000,472.835
1508,Jordan Torunarigha,1452,0,1,0,0,6,1,6,0,1085,11,32,12,0.5,0.5,0.4,9,2,753,892,56,664,11,12,6,0.844170404,25,GER,CB,24-014,Hertha BSC,770000,316.645
1509,Aleksei Miranchuk,1447,6,7,0,0,29,10,0,0,979,35,4,4,2.3,2.3,4.3,75,13,626,792,81,701,57,51,30,0.79040404,59,RUS,AM,25-308,Atalanta,2780000,633.372
1510,Nico Schulz,1446,0,2,0,0,5,2,3,0,1286,30,17,20,0.3,0.3,1.4,25,5,919,1122,82,673,40,19,5,0.819073084,14,GER,LB,28-135,Dortmund,1300000,1092.74
